batch_size = 512,nb_epoch = 100 
hidden state size: 10------------------
timestep size	RMSE	TPA	TPPA
5	19.6429022114	0.461538461538	0.233734939759
10	21.7894424797	0.450602409639	0.30193236715
15	20.367933271	0.469879518072	0.265700483092
20	22.1297088293	0.454106280193	0.309927360775
35	22.7282356701	0.464891041162	0.320388349515
50	21.1997636139	0.467153284672	0.278048780488
75	21.6618218265	0.447432762836	0.299019607843
90	24.6074268701	0.479115479115	0.317733990148
100	25.0974300917	0.475369458128	0.325925925926
110	25.4763539703	0.464197530864	0.336633663366
120	26.4138814218	0.465346534653	0.332506203474
150	26.6378868894	0.45885286783	0.37
